[18:44:58] IP=127.0.0.1:54126 | GET / | HTTP 404
[18:44:58] IP=127.0.0.1:54140 | GET /favicon.ico | HTTP 404
[18:47:22] IP=127.0.0.1:32946 | GET / | HTTP 200
[18:47:22] IP=127.0.0.1:32952 | GET /index.css | HTTP 200
[18:47:48] IP=127.0.0.1:33048 | GET / | HTTP 200
[18:47:48] IP=127.0.0.1:33062 | GET /index.css | HTTP 200
[18:47:51] IP=127.0.0.1:33066 | GET / | HTTP 200
[18:47:51] IP=127.0.0.1:33068 | GET /index.css | HTTP 200
[18:47:53] IP=127.0.0.1:55166 | GET / | HTTP 200
[18:47:53] IP=127.0.0.1:55176 | GET /index.css | HTTP 200
[18:48:03] IP=127.0.0.1:58864 | GET / | HTTP 200
[18:48:03] IP=127.0.0.1:58876 | GET /index.css | HTTP 200
[18:55:37] IP=127.0.0.1:56470 | GET / | HTTP 200
[18:55:37] IP=127.0.0.1:56486 | GET /styles.css | HTTP 200
[18:55:37] IP=127.0.0.1:56498 | GET /script.js | HTTP 200
[18:55:37] IP=127.0.0.1:56490 | GET /imagen.png | HTTP 200
[18:55:56] IP=127.0.0.1:50222 | GET / | HTTP 200
[18:55:56] IP=127.0.0.1:50242 | GET /script.js | HTTP 200
[18:55:56] IP=127.0.0.1:50228 | GET /styles.css | HTTP 200
[18:55:56] IP=127.0.0.1:50240 | GET /imagen.png | HTTP 200
[18:56:02] IP=127.0.0.1:38168 | GET / | HTTP 200
[18:56:02] IP=127.0.0.1:38178 | GET /styles.css | HTTP 200
[18:56:02] IP=127.0.0.1:38186 | GET /script.js | HTTP 200
[18:56:02] IP=127.0.0.1:38202 | GET /imagen.png | HTTP 200
[18:56:50] IP=127.0.0.1:35450 | GET / | HTTP 200
[18:56:50] IP=127.0.0.1:35462 | GET /index.css | HTTP 200
[19:42:33] IP=127.0.0.1:44074 | GET / | HTTP 200
[19:42:34] IP=127.0.0.1:44084 | GET /index.css | HTTP 200
[19:43:38] IP=127.0.0.1:43304 | GET / | HTTP 200
[19:43:38] IP=127.0.0.1:43316 | GET /styles.css | HTTP 200
[19:43:38] IP=127.0.0.1:43330 | GET /script.js | HTTP 200
[19:43:38] IP=127.0.0.1:43318 | GET /imagen.png | HTTP 200
